molecule_chembl_id,pIC50,smile,ROMol
CHEMBL8223,4.3,CCN(CC)c1ccc(Nc2cc3c(cc2Nc2ccc(N(CC)CC)cc2)C(=O)NC3=O)cc1,<rdkit.Chem.rdchem.Mol object at 0x00000255C0075200>
CHEMBL584,4.25,Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C,<rdkit.Chem.rdchem.Mol object at 0x00000255C0075270>
CHEMBL21096,4.23,CCCNN1C(=O)c2c(c3c4cccc(O)c4n(C4OC(CO)C(O)C(O)C4O)c3c3[nH]c4c(O)cccc4c23)C1=O,<rdkit.Chem.rdchem.Mol object at 0x00000255C00752E0>
CHEMBL7699,4.23,O=c1c(-c2cccc(Cl)c2)coc2cc(O)ccc12,<rdkit.Chem.rdchem.Mol object at 0x00000255C0075350>
CHEMBL20926,4.19,Cc1ccc(NC(=O)c2ccccc2)cc1Nc1nccc(-c2cccnc2)n1,<rdkit.Chem.rdchem.Mol object at 0x00000255C00753C0>
CHEMBL104,4.16,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,<rdkit.Chem.rdchem.Mol object at 0x00000255C0075430>
CHEMBL277430,4.12,Cc1ccc(N(C(=O)c2ccccc2)C(=O)c2ccccc2)cc1Nc1nccc(-c2cccnc2)n1,<rdkit.Chem.rdchem.Mol object at 0x00000255C00754A0>
CHEMBL414013,4.12,COc1cc2c(cc1OC)Nc1ncnc(O)c1C2,<rdkit.Chem.rdchem.Mol object at 0x00000255C0075510>
CHEMBL279035,4.05,O=C(O)c1ccc(NN2C(=O)c3c(c4c5cccc(O)c5n(C5OC(CO)C(O)C(O)C5O)c4c4[nH]c5c(O)cccc5c34)C2=O)cc1,<rdkit.Chem.rdchem.Mol object at 0x00000255C0075580>
CHEMBL21108,4.05,O=C1NC(=O)c2c1c1c3cccc(O)c3[nH]c1c1c2c2cccc(O)c2n1C1OC(CO)C(O)C(O)C1O,<rdkit.Chem.rdchem.Mol object at 0x00000255C00755F0>
CHEMBL19978,4.02,O=C(Nc1ccccc1)NN1C(=O)c2c(c3c4cccc(O)c4n(C4OC(CO)C(O)C(O)C4O)c3c3[nH]c4c(O)cccc4c23)C1=O,<rdkit.Chem.rdchem.Mol object at 0x00000255C0075660>
CHEMBL10,4.02,C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,<rdkit.Chem.rdchem.Mol object at 0x00000255C00756D0>
CHEMBL277667,4.0,CNN1C(=O)c2c(c3c4cccc(O)c4n(C4OC(CO)C(O)C(O)C4O)c3c3[nH]c4c(O)cccc4c23)C1=O,<rdkit.Chem.rdchem.Mol object at 0x00000255C0075740>
CHEMBL27085,4.0,Cc1nc(O)c2c(ccc3[nH]c(Nc4c(Cl)cccc4Cl)nc32)c1C,<rdkit.Chem.rdchem.Mol object at 0x00000255C00757B0>
