,molecule_chembl_id,pIC50,smile,ROMol,MW,HBA,HBD,LogP,rule_of_five_conform
74,CHEMBL3917026,9.52,C=CC(=O)Nc1ccccc1C1CCNc2c(C(N)=O)c(-c3ccc(OCC4CC4)cc3)nn21,<rdkit.Chem.rdchem.Mol object at 0x000001D696637350>,457.211389724,6,3,3.9673000000000016,yes
75,CHEMBL4439338,9.52,COc1cc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2cc1OCCCN1CCNCCNCC1,<rdkit.Chem.rdchem.Mol object at 0x000001D6966373C0>,594.252144912,9,3,5.017200000000004,no
76,CHEMBL4785569,9.52,CCOc1ccccc1-c1cc2c(N[C@H](C)c3ccccc3)ncnc2[nH]1,<rdkit.Chem.rdchem.Mol object at 0x000001D696637430>,358.17936132400007,4,2,5.196700000000004,yes
77,CHEMBL4078431,9.52,COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OCCCOP(N)(=O)N(CCCl)CCCl,<rdkit.Chem.rdchem.Mol object at 0x000001D6966374A0>,605.0361084339999,7,2,5.776400000000004,no
78,CHEMBL4743998,9.52,C[C@@H](Nc1ncnc2[nH]c(-c3ccc(NS(C)(=O)=O)cc3)cc12)c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x000001D696637510>,407.141595912,5,3,4.169500000000002,yes
79,CHEMBL3544983,9.52,COc1cc2c(Nc3ccc(Cl)c(Cl)c3F)ncnc2cc1OC[C@@H]1C[C@@H]2CN(C)C[C@@H]2C1,<rdkit.Chem.rdchem.Mol object at 0x000001D696637580>,490.13385962000007,6,1,5.7945000000000055,yes
80,CHEMBL3357644,9.52,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C(F)=C\CN1CCOCC1,<rdkit.Chem.rdchem.Mol object at 0x000001D6966375F0>,489.137923684,7,2,4.298600000000003,yes
81,CHEMBL4748320,9.52,CN(C)CCNCc1ccc(-c2cc3c(N[C@H](CO)c4ccccc4)ncnc3[nH]2)cc1,<rdkit.Chem.rdchem.Mol object at 0x000001D696637660>,430.24810958000006,6,4,3.4216000000000015,yes
82,CHEMBL4290812,9.52,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N1CCN(C)CC1,<rdkit.Chem.rdchem.Mol object at 0x000001D6966376D0>,509.2539232320001,8,2,4.4189000000000025,yes
83,CHEMBL4787816,9.52,COc1cc(CNCCN(C)C)ccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,<rdkit.Chem.rdchem.Mol object at 0x000001D696637740>,460.25867426400004,7,4,3.430200000000001,yes
84,CHEMBL4740573,9.52,COc1cc(NS(C)(=O)=O)ccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,<rdkit.Chem.rdchem.Mol object at 0x000001D6966377B0>,453.1470752160001,7,4,3.150500000000001,yes
85,CHEMBL203644,9.52,CC#CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cn1,<rdkit.Chem.rdchem.Mol object at 0x000001D696637820>,355.0636158720001,5,2,3.5227000000000013,yes
86,CHEMBL2029436,9.52,C=CC(=O)Nc1cccc(N2C(=O)N(c3ccccc3)Cc3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,<rdkit.Chem.rdchem.Mol object at 0x000001D696637890>,590.275386948,8,2,5.383400000000004,no
87,CHEMBL3360603,9.51,COc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCCn1ccnc1[N+](=O)[O-],<rdkit.Chem.rdchem.Mol object at 0x000001D696637900>,486.12185902,9,1,5.138400000000003,yes
88,CHEMBL3355877,9.49,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCCCCn1ccnc1[N+](=O)[O-],<rdkit.Chem.rdchem.Mol object at 0x000001D696637970>,514.153159148,9,1,5.918600000000004,no
89,CHEMBL4873506,9.49,C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCCN/C(=N\C#N)Nc4cccnc4)cc23)c1,<rdkit.Chem.rdchem.Mol object at 0x000001D6966379E0>,534.2491722000001,8,3,5.236280000000004,no
90,CHEMBL3360606,9.49,COc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCOCCn1ccnc1[N+](=O)[O-],<rdkit.Chem.rdchem.Mol object at 0x000001D696637A50>,502.11677363999996,10,1,4.374800000000003,yes
91,CHEMBL3360619,9.48,COc1cc2c(Nc3cccc(Br)c3)ncnc2cc1OCCCCCn1ccnc1[N+](=O)[O-],<rdkit.Chem.rdchem.Mol object at 0x000001D696637AC0>,526.096415316,9,1,5.498500000000004,no
92,CHEMBL366580,9.47,Brc1cccc(Nc2ncnc3cc4c[nH]nc4cc23)c1,<rdkit.Chem.rdchem.Mol object at 0x000001D696637B30>,339.01195742000004,4,2,4.012200000000001,yes
